cpih_yoy,food_yoy,housing_fuels_yoy,transport_yoy,core_cpih_yoy,date,bank_rate,war_dummy,ppi_input_yoy,ppi_output_yoy,ppi_import_yoy,ppi_export_yoy
2.9,10.3,5.9,-1.6,1.6,2009-01-01,2.0,0,7.025761124121788,,,15.02890173410405
3.1,11.6,4.9,-1.2,1.9,2009-02-01,1.5,0,6.162790697674425,,,11.87214611872147
2.8,10.6,4.3,-1.8,1.9,2009-03-01,1.0,0,5.389908256880727,,,11.950394588500558
2.3,8.7,3.3,-0.7,1.7,2009-04-01,0.5,0,2.5959367945824097,,,6.923076923076921
2.1,7.9,2.9,-0.8,1.7,2009-05-01,0.5,0,1.4428412874583962,,,5.798687089715537
1.7,5.4,2.7,-1.1,1.5,2009-06-01,0.5,0,-0.21786492374727962,,,3.723986856516981
1.6,4.1,2.4,-1.4,1.6,2009-07-01,0.5,0,-1.5135135135135203,,,3.1659388646288367
1.4,2.2,1.6,0.0,1.5,2009-08-01,0.5,0,-0.21715526601518986,,,2.1621621621621623
1.0,1.5,0.0,1.2,1.5,2009-09-01,0.5,0,-1.1840688912809538,,,3.0010718113612
1.2,2.2,-0.4,3.7,1.4,2009-10-01,0.5,0,1.5250544662309462,,,3.404255319148941
1.5,1.3,-0.6,7.2,1.4,2009-11-01,0.5,0,2.5219298245614086,,,-0.3121748178980255
2.1,1.6,-0.8,8.7,1.9,2009-12-01,0.5,0,3.19383259911894,0.2132196162046851,-0.5149330587023715,-1.4213197969543234
2.6,1.9,-0.8,10.9,2.1,2010-01-01,0.5,0,2.9540481400437413,0.21276595744681437,-2.4365482233502544,-2.010050251256279
2.1,1.3,-1.1,10.5,1.9,2010-02-01,0.5,0,3.285870755750264,1.3933547695605508,-0.41025641025641546,0.20408163265306367
2.4,2.1,-0.8,11.3,1.9,2010-03-01,0.5,0,5.114254624591941,2.558635394456288,0.6085192697768749,1.007049345417932
2.7,2.9,-0.9,11.0,2.0,2010-04-01,0.5,0,7.26072607260726,3.548387096774186,2.063983488132104,1.9527235354573458
2.5,1.8,-0.6,10.1,1.9,2010-05-01,0.5,0,6.673960612691454,1.93965517241379,3.7422037422037313,-1.5511892450879028
2.4,1.9,-0.5,8.9,2.0,2010-06-01,0.5,0,6.222707423580798,2.1691973969631295,5.6443024494142735,-0.10559662090814381
2.3,3.4,-0.5,7.9,1.8,2010-07-01,0.5,0,6.805708013172351,2.0652173913043637,5.756929637526653,-0.4232804232804255
2.4,4.2,-0.3,7.6,1.9,2010-08-01,0.5,0,5.875952121871597,1.7391304347825987,5.106382978723412,-1.2698412698412764
2.4,5.2,-0.1,5.4,1.9,2010-09-01,0.5,0,6.5359477124183,1.2917115177610183,4.070981210855962,-1.8730489073881307
2.5,4.5,0.1,5.8,2.0,2010-10-01,0.5,0,6.4377682403433445,1.3888888888889062,4.455958549222805,-1.9547325102880708
2.6,5.5,0.3,5.1,2.1,2010-11-01,0.5,0,6.631016042780757,1.8240343347639465,4.791666666666661,-1.148225469728592
3.1,6.2,1.0,6.6,2.3,2010-12-01,0.5,0,8.537886872998923,1.8085106382978777,4.865424430641818,-2.059732234809475
3.4,6.3,1.3,7.8,2.5,2011-01-01,0.5,0,10.095642933049941,2.547770700636942,5.93132154006244,-2.1538461538461506
3.7,6.2,1.7,8.1,2.8,2011-02-01,0.5,0,10.710498409331937,2.4312896405919826,4.840370751802259,-3.1568228105906426
3.5,4.5,2.0,8.1,2.7,2011-03-01,0.5,0,10.766045548654258,2.182952182952169,3.629032258064502,-3.9880358923230275
3.8,4.4,2.3,9.6,3.1,2011-04-01,0.5,0,12.102564102564095,3.011422637590866,4.853387259858444,-2.116935483870974
3.8,5.9,2.3,8.1,2.8,2011-05-01,0.5,0,11.38461538461537,4.862579281183943,4.308617234468937,1.8907563025210017
3.6,7.0,2.3,8.0,2.5,2011-06-01,0.5,0,11.819116135662888,5.73248407643312,5.745967741935476,3.2769556025370017
3.8,6.2,2.4,7.8,2.7,2011-07-01,0.5,0,12.230215827338142,6.176783812566566,6.754032258064524,3.7194473963868324
3.9,6.2,2.6,7.5,2.7,2011-08-01,0.5,0,11.202466598150052,6.08974358974359,6.781376518218618,3.8585209003215493
4.5,6.4,3.9,9.0,2.9,2011-09-01,0.5,0,11.963190184049077,6.1636556854410385,6.619859578736209,3.6055143160127257
4.3,5.0,4.1,7.8,2.9,2011-10-01,0.5,0,9.5766129032258,5.163329820864049,4.960317460317465,2.413431269674704
4.1,4.0,4.1,7.2,2.8,2011-11-01,0.5,0,9.127382146439311,5.057955742887255,4.572564612326047,2.323125659978875
3.7,3.8,3.7,5.8,2.6,2011-12-01,0.5,0,6.588003933136677,3.9707419017763756,3.455083909180656,1.8927444794952786
3.2,3.5,3.6,4.1,2.4,2012-01-01,0.5,0,4.536679536679533,7.453416149068337,2.8487229862475427,10.90146750524108
3.1,3.7,3.4,3.8,2.2,2012-02-01,0.5,0,5.363984674329503,7.843137254901955,3.143418467583503,12.302839116719255
3.1,4.6,3.1,3.4,2.2,2012-03-01,0.5,0,3.9252336448598157,6.917599186164791,1.9455252918287869,11.214953271028039
2.8,4.3,3.2,1.8,2.0,2012-04-01,0.5,0,0.9149130832570851,5.846774193548376,0.192864030858253,9.886714727085488
2.5,3.3,3.1,1.7,2.0,2012-05-01,0.5,0,0.0,5.645161290322576,-0.5763688760806907,10.206185567010317
2.3,2.2,3.1,1.0,2.0,2012-06-01,0.5,0,-1.930147058823528,3.714859437751006,-0.6673021925643452,7.5742067553735914
2.4,2.1,3.1,1.4,2.1,2012-07-01,0.5,0,-2.2893772893772923,2.006018054162495,-2.2662889518413665,3.7909836065573854
2.3,2.2,3.0,1.8,1.9,2012-08-01,0.5,0,-0.09242144177450395,4.632426988922456,-1.8957345971563955,8.255933952528371
2.1,2.0,1.8,2.6,2.0,2012-09-01,0.5,0,-1.187214611872145,4.504504504504503,-2.9162746942615225,7.881269191402263
2.4,3.4,1.6,3.1,2.3,2012-10-01,0.5,0,-0.4599816007359703,4.609218436873763,-1.8903591682419618,8.094262295081966
2.4,3.9,1.7,2.7,2.4,2012-11-01,0.5,0,-0.6433823529411797,5.115346038114343,-1.0456273764258617,10.113519091847255
2.4,3.8,2.3,1.2,2.1,2012-12-01,0.5,0,-0.3690036900369065,4.82412060301507,-1.049618320610679,9.597523219814242
