cpih_yoy,food_yoy,housing_fuels_yoy,transport_yoy,core_cpih_yoy,date,bank_rate,ppi_input_yoy,ppi_output_yoy,ppi_import_yoy,ppi_export_yoy,war_dummy
2.6,2.6,2.2,3.0,2.4,2017-07-01,0.25,5.905130687318505,3.6468330134356908,4.616805170821792,3.3364226135310426,0
2.7,2.2,2.2,3.2,2.6,2017-08-01,0.25,6.737247353224252,4.106972301814715,5.611775528978846,3.771849126034943,0
2.8,3.1,2.2,4.0,2.5,2017-09-01,0.25,6.903163950143809,3.7213740458015288,4.71349353049908,3.0414746543778737,0
2.8,4.1,2.0,3.8,2.5,2017-10-01,0.25,4.948646125116718,1.491146318732528,1.878354203935606,-0.3561887800534236,0
2.8,4.2,2.0,4.2,2.5,2017-11-01,0.25,6.660412757973733,2.8169014084507005,3.354487760652769,1.6260162601625883,0
2.7,4.1,1.8,3.7,2.3,2017-12-01,0.5,5.462962962962958,2.9190207156308823,3.568161024702654,1.821493624772308,0
2.7,3.7,1.8,3.3,2.4,2018-01-01,0.5,4.6617915904936025,1.8639328984156656,1.2567324955116588,0.4500450045004545,0
2.5,3.0,1.7,2.7,2.2,2018-02-01,0.5,4.19325432999087,1.5843429636533068,1.6201620162016317,0.4520795660036159,0
2.3,3.1,1.7,2.9,2.1,2018-03-01,0.5,4.462659380692169,1.1121408711770142,0.3558718861209842,-0.44802867383512135,0
2.2,2.7,1.8,2.3,2.0,2018-04-01,0.5,4.918032786885251,1.6759776536312776,0.8064516129032251,0.27173913043478937,0
2.3,2.3,1.6,4.6,2.0,2018-05-01,0.5,7.227813357731017,3.0726256983240274,2.0572450805008913,2.1739130434782483,0
2.3,2.0,1.8,5.3,1.8,2018-06-01,0.5,7.7910174152153955,3.2437442075996303,1.1453744493391982,1.8817204301075252,0
2.3,2.3,1.8,5.6,1.8,2018-07-01,0.5,7.495429616087734,3.425925925925921,1.9417475728155331,2.6008968609865457,0
2.4,2.4,1.8,6.0,1.9,2018-08-01,0.5,6.853020739404858,3.394495412844045,1.8292682926829285,2.8368794326241176,0
2.2,1.5,1.9,5.5,1.8,2018-09-01,0.75,7.17488789237668,4.0478380864765295,2.6478375992939007,4.02504472271914,0
2.2,0.9,2.1,5.3,1.8,2018-10-01,0.75,6.850533807829162,4.132231404958686,1.7559262510974616,3.9320822162645097,0
2.2,0.5,2.0,4.8,1.8,2018-11-01,0.75,4.045734388742295,3.561643835616435,1.8421052631578894,3.733333333333344,0
2.0,0.7,2.1,3.3,1.8,2018-12-01,0.75,2.8972783143107916,3.934126258005488,3.3568904593639592,5.008944543828275,0
1.8,0.9,1.4,3.1,1.8,2019-01-01,0.75,2.2707423580786035,3.2936870997255285,2.5709219858156107,4.211469534050183,0
1.8,1.2,1.4,3.0,1.8,2019-02-01,0.75,2.7121609798775204,3.3027522935779707,2.037201062887517,3.960396039603964,0
1.8,0.8,1.4,3.2,1.8,2019-03-01,0.75,2.3539668700959027,3.024747937671868,1.2411347517730542,3.4203420342034274,0
2.0,0.7,2.3,4.6,1.7,2019-04-01,0.75,2.864583333333326,3.5714285714285587,2.3111111111111082,4.607046070460696,0
1.9,1.1,2.3,2.7,1.7,2019-05-01,0.75,1.1945392491467421,3.07136404697379,1.752848378615246,3.8120567375886427,0
1.9,1.7,2.1,2.3,1.7,2019-06-01,0.75,0.5952380952380931,2.872531418312385,2.3519163763066286,4.045734388742295,0
2.0,1.5,1.9,1.3,1.9,2019-07-01,0.75,1.1054421768707634,3.22291853178156,2.9437229437229595,4.020979020979021,0
1.7,1.8,1.9,1.3,1.5,2019-08-01,0.75,0.42194092827003704,3.105590062111796,3.507271171941828,3.9655172413793016,0
1.7,1.7,1.7,0.5,1.6,2019-09-01,0.75,-0.9205020920502016,2.2104332449160102,2.579535683576961,2.923473774720553,0
1.5,1.4,1.1,0.7,1.7,2019-10-01,0.75,-2.0815986677768517,1.2345679012345512,1.6393442622950838,1.8916595012897774,0
1.5,2.1,1.2,0.8,1.7,2019-11-01,0.75,-0.9298393913778513,0.44091710758378255,0.25839793281654533,0.42844901456726703,0
1.4,1.7,1.2,0.7,1.4,2019-12-01,0.75,0.17064846416381396,-0.2640845070422504,-1.452991452991459,-1.1073253833049468,0
1.8,1.4,1.9,1.8,1.6,2020-01-01,0.75,0.3415883859948732,0.5314437555358653,0.2592912705272177,-0.08598452278589797,0
1.7,1.3,1.8,1.9,1.7,2020-02-01,0.75,-0.5110732538330609,0.8880994671403242,1.388888888888884,1.0389610389610393,0
1.5,1.3,1.7,1.3,1.6,2020-03-01,0.75,-2.044293015332199,1.868327402135228,4.640980735551659,3.4812880765883403,0
0.9,1.4,0.5,-0.9,1.5,2020-04-01,0.1,-5.147679324894505,-0.4420866489831976,1.8245004344048743,0.5181347150259086,0
0.7,1.9,0.5,-1.6,1.3,2020-05-01,0.1,-4.806070826306907,-1.0517090271691454,1.4642549526270532,0.0,0
0.8,1.2,0.6,-1.5,1.5,2020-06-01,0.1,-3.296703296703285,-1.1343804537521818,0.08510638297871687,-0.7607776838545965,0
1.1,0.8,0.6,-0.6,1.8,2020-07-01,0.1,-3.111858704793946,-1.4744145706851675,-0.6728343145500526,-1.092436974789912,0
0.5,0.4,0.7,-0.8,1.0,2020-08-01,0.1,-3.361344537815125,-2.409638554216864,-2.809917355371905,-2.736318407960192,0
0.7,0.0,0.7,1.0,1.4,2020-09-01,0.1,-2.7027027027027084,-1.6435986159169524,-0.25146689019278634,-1.3366750208855582,0
0.9,0.6,0.5,1.3,1.5,2020-10-01,0.1,-1.6156462585033893,-0.9581881533101022,0.9337860780984863,-0.33755274261604296,0
0.6,-0.5,0.5,1.0,1.2,2020-11-01,0.1,-0.7679180887372072,-0.351185250219499,1.546391752577314,0.0,0
0.8,-1.4,0.6,1.9,1.5,2020-12-01,0.1,0.5110732538330387,0.6178287731685828,3.209019947961833,1.3781223083548788,0
0.9,-0.7,0.6,2.3,1.5,2021-01-01,0.1,1.7872340425531874,0.7929515418502175,2.327586206896548,1.2908777969018903,0
0.7,-0.6,0.8,2.6,1.1,2021-02-01,0.1,3.424657534246567,0.8802816901408494,0.5136986301369939,0.5141388174807249,0
1.0,-1.4,0.8,3.9,1.3,2021-03-01,0.1,6.78260869565217,0.6113537117903967,-1.3389121338912124,-0.7569386038688064,0
1.6,-0.5,1.8,5.0,1.5,2021-04-01,0.1,10.231316725978656,2.841918294849033,1.6211604095563104,2.0618556701030855,0
2.1,-1.3,1.9,6.5,2.0,2021-05-01,0.1,10.806023029229394,3.011514614703259,1.018675721561979,1.6225448334756587,0
2.4,-0.6,1.9,7.3,2.3,2021-06-01,0.1,10.839160839160833,3.5304501323918824,1.6156462585034115,2.2146507666098714,0
2.1,-0.6,1.9,7.9,1.9,2021-07-01,0.1,11.979166666666675,4.225352112676073,2.201524132091448,2.8887000849617595,0
3.0,0.3,2.0,8.1,2.9,2021-08-01,0.1,12.43478260869566,4.850088183421519,2.2959183673469497,3.324808184143224,0
2.9,0.8,2.1,8.5,2.7,2021-09-01,0.1,13.628472222222232,6.2445030782761535,2.184873949579824,5.080440304826417,0
